1990,308.06
1991,308.72
1992,309.36
1993,309.26
1994,309.91
1995,310.47
1996,311.13
1997,312.16
1998,313.02
1999,313.96
2000,314.8
2001,315.33
2002,316.04
2003,316.54
2004,317.35
2005,318.05
2006,318.85
2007,319.5
2008,320.75
2009,321.42
2010,322.42
2011,323.25
2012,324.29
2013,325.09
2014,325.98
2015,327.11
2016,327.78
2017,328.66
2018,330.23
2019,330.74
